,review title,job title,job location,date,description,pros,cons
11,productive and excellent working environment,Murowa diamond Mines Shaft supervisory operations,Zvishavane software,"October 14, 2018",one of the best experience ever .would love to work for this company again. accommodation was offered and other basic human amenities .transport as well as clothing allowances were all paid meticulously free meals for all new recruits. the company also gives room for further education.,professional workshops,contracts
12,Great benefits,HR,Singapore,"October 13, 2018","Great benefits and focus on safety.Culture is quite open and differing opinions are valued. Very diversed working environment, typical MNC environment.",#VALUE!,#VALUE!
13,"Great Compensation and Benefits, Bureaucratic",Manager of Finance - Global Logistics,"Denver, CO","October 11, 2018","Rio Tinto provides many opportunities for advancement if you are willing to move. Compensation and benefits are fantastic. Bureaucracy is suffocating. My immediate manager was great, but overall I wouldn't say Rio Tinto has an innovation culture. Great place to work for the compensation, but don't expect new ideas to be adopted quickly if at all.",Benefits and compensation,Bureaucratic
14,Soild place to work,Millwright,Rtm Boron ca usa,"October 11, 2018",Solid place to work if you are in a union. Management jobs not so much. Long drive to Boron ca. But easy to find a carpool. You can get a good wage and benefits also 401k and stock options.,Good benefits,Long commute
15,Fast pace and new experience,Shipping and Receiving Specialist C,"Boron, CA","October 9, 2018",Loved working there when I did. Was busy all the time. Was able to learn new skills and machinery.also had a chance job enhancement such as new position and rate of pay.,Job advancement,Was contracted out
16,Best safety standards,Mineral Rights Specialist,"Johannesburg North, Gauteng","October 2, 2018",They have got good work codes but they only observe them to please the management.Different rules for different people. They have problems with indigenousation .Career progression is limited,Good travelling cover,Refuse to adapt to local practises
17,"My manager was excellent, overall management poor",Manager of Finance - Global Logistics,Colorado,"September 23, 2018","Excellent benefits and pay, but if you are someone who wants to do something innovative, the bureaucracy at Rio Tinto will snuff you out. It might be different at higher levels of management, but the incentives for middle managers and rank-and-file staff is to do what you're told. It is the same as any other large organization - your best bet is to reserve your energy and do only the bare minimum to get the paycheck. Raising your hand to try something different will only get it lopped off. Granted, extractive industries have never been know for innovation. They are generally very conservative. Rio Tinto is no different.",Excellent benefits and pay,"Overly conservative management, suffocating bureaucracy"
18,Great Place,Mine Control Engineer III,"Salt Lake City, UT","September 21, 2018",Awesome great place to work. There is not much more to say. It has been a pleasure to be part of the great Rio company. Would love to continue to work for them n the future.,#VALUE!,#VALUE!
19,Great company to work for,Administrative Assistant,Tom Price WA,"September 16, 2018","Wide array of clerical and administrative duties for FIFO and residential teams. Extremely varied tasks - travel, PPE, HSE involvement, reporting, etcI learned what teamwork really isManagement is great, with a progressive attitudeWorkplace culture is professional yet casual and inclusiveHardest part of the job was probably trying to juggle so many tasks that related to people on rotating rosters. Required good use of personal notes and a sharp memoryMost enjoyable part was the camaraderie",Great place to expand skills and get paid well to do it,Mining and resources sector can be unstable
20,Big company,"Heavy Duty Serviceman, Advanced Rigger and ERT VC",Pilbara WA,"September 16, 2018",Feel secure working for a big company but you do get lost in the system. Not many opportunities to grow with in a the company. They have put me through a few courses but not to any real benefit,#VALUE!,#VALUE!
22,Facility closed in Thunder Bay,Mineral Observer,"Thunder Bay, ON","September 16, 2018",Great place to work but the facility is now closed in Thunder Bay. Always looked for ward to going to work and didn't have to take the job home with me.,#VALUE!,#VALUE!
23,good place to work,Drill Operator,Brockman WA,"September 12, 2018","I loved working for Rio Tinto and with its employees, my only downfall with Rio Tinto was i became another statistic to infidelity while away mining and i felt i never really got proper support or understanding of what i was going through as an indigenous male working away but in no way shape or form do i blame Rio Tinto or any of its staff for my or others actions i take full responsibility for the outcome on which it was handled poorly by myself. In saying so i wish to become re-employed with Rio Tinto to become a success story to an unfortunate statistic that we where told in training before employment of such areas that mining life contributes to and takes a toll on.I believe if i do regain employment i can only further benefit the company,myself and help others in a like-wise or any unfortunate situation.",Good Co-Employees,#VALUE!
24,Good An bad,Secondary break,Perth WA,"August 30, 2018",Rio is a good company but some of there sites are not run to well with a few of there bosses they change things constantly An for ever updating there procedures to suit one person,#VALUE!,#VALUE!
25,Great place to work,Heavy Equipment Mechanic,"Boron, CA","August 29, 2018",12 hour day They teach you everything you need management is okGreat work place culture The hardest part was leaving after 13 yearsWorking with a great group of mechanics,Great pay with time for a home life,none
26,Good money but its about the business and they let you know,TRAINEE - CERT II EGINEERING AND PRODUCTION,Weipa,"August 29, 2018",Don't get me wrong I like to work here its good money great benefits but the truth is they shaft you compared to other rio sites. New people with no experience are getting paid more then guys that have been here for 3 years!!!!!!!!!,Easy place to work and make good money,management aint intouch with the groud floor
27,Challenging and rewarding environment,Analyst,"London, Greater London","August 24, 2018","Very interesting environment to work in. Collaborate with high potential coworkers, contributing to fascinating and intellectually demanding projects.",#VALUE!,#VALUE!
28,Safe and friendly,Mechanical Fitter,Gove NT,"August 16, 2018",Safe and productive work place Friendly and approachable Beautiful place to live and work Great community to live inGreat roster and leave Easily the best place to live and work,Good roster,Extrem humidity
29,You donâ€™t want to know,Production Operator,Tom Price WA,"July 31, 2018","Rio do yourself a favour and run!!!......theyâ€™ll chew you up and spit you out...your just a number to the greedy beast....the best part is operating large machinery, hours arenâ€™t good, food at camp doesnâ€™t rate a mention, management are only there to line there own pockets and really donâ€™t understand the conditions the ground staff are working under.....shall I go on.",Leaving,Rio Tinto as a whole
30,Good,Technologist,"Kitimat, BC","July 23, 2018",Typical day is &AM to 3PM. Hours are pretty flexible. safety is very important. Many jobs get stopped because of safety. safety incidents are very important.,#VALUE!,#VALUE!
31,Working environment challengant with a large bucket Result © sharing good practices,HSE Supervisor,Edea,"July 20, 2018",Working environment challengant with a large bucket Result © sharing good practices,#VALUE!,#VALUE!
32,great place to work,Executive Assistant,USA,"July 19, 2018",Rio Tinto provides a diverse culture and awesome work life balance. I really enjoyed my time with the company. My favorite thing about working here is the flex schedule. They encourage you to work from home rather than commute in every day.,"Work from home, great benefits & work life balance","Company is always reducing employees, changing/shifting org charts and laying off employees. You NEVER felt a sense of job security."
33,Great place,Equipment Operator/Plant Operator,"Sherwood Park, AB","July 5, 2018",Awesome place to work lots of good people. Good work in Inviorment lots of training. Some days are really busy but others not so much. Very well paying job and must people donâ€™t quit till retirement.,Pay and benefits,None
34,"Good companies, put on the © © curitÃ, productivitÃ © et rendement au dÃ © triment des employÃ © s",MÃ © Ã © stationary equipment mechanic,"Havre-Saint-Pierre, QC","July 5, 2018",Rio Tinto is a big company that wants to make profit and are only or stay © © curita premium to goal. Our agreement is good but they try at every time we © Result reduce our earnings. Good working spirit in our Ã © team and against a good-master. The management is in place in a good direction to bring the mine to a better future. Shift from 8 day night evening for younger and day job for the oldest.,meals provided,uncertain future
35,Great roster and Opportunities.,Site Based Construction Rep,Karratha WA,"July 3, 2018",Great opportunity in the outback of the Pilbara of WA. Excellent company to work with and loads of opportunities for growth and advancement. Great culture and people along with excellent locations.,Great Company,Mining DOwnturn
36,Cant speak highly enough,Operator/Truck Driver,Western Australia,"July 2, 2018","Just loved the Rio attitude, excellent people excellent sites, progression within the ranks is the norm...and the supervisors are there to help in any way and every way possible",Excellent sites,None
37,positive,Kitchen assistant,"Tui, Pontevedra Province","June 26, 2018",Site familiar character where it is easy to integrate,#VALUE!,#VALUE!
38,A lot of double standards,Executive Administrative Assistant,"South Jordan, UT","June 12, 2018","Executives are in Australia and the UK. They are very concerned about cost savings to the extent of outsourcing full departments. They do give a severance package, but it still cuts like a knife when they tell you your position has been eliminated and you have to hand over your company assigned property right there on the spot without any time to finish up loose ends or to look for other employment. The constant worry about lay offs causes stress for all employees. Company's roots are in Australia and seems to be fading fast for the US. They have a good safety culture and good benefits, but the uncertainty is simply too much.",Benefits and pay,Stressful worry about being outsourced
39,work place culture,Project Manager,Canada,"June 10, 2018","Pluses include: global opportunities , challenging projects , multiple commodities, strong safety culture Deltas include: limited operations within Canada",#VALUE!,#VALUE!
40,productive swimming pool,Bus Driver,Driver NT,"June 7, 2018",safety safe enviroment great work ethics i also have freinds and family that highly recommend working for this company i get along with everybody and thats the key to a great work place is that everybody gets along and gets the job done safe,#VALUE!,#VALUE!
41,Working environment,Stage,Paris (75),"June 1, 2018","Very good coaching, tutors pÃ © dagogues and available.",#VALUE!,#VALUE!
43,Great team - Great management,Contract Administrator /Coordinator,"MontrÃ © al, QC","May 29, 2018","Opportunities to learn, great knowledge sharing, various tasks, beautiful office, accessible management, international experience, public company experience",#VALUE!,#VALUE!
44,Productive and fun workplace,"Accountant, Finance & Accounting Department",Conakry,"May 28, 2018","This position was almost my first and real working experience after an internship in Audit with FFA / Ernst & Young. A typical day at work was the day I had to finalize and present a report to my line manager. That was special because I received a good feedback from my line manager after the presentation. Something that I learnt was that I cannot do everything as a team member. Rather, we, as an entire team, complete each other in terms of work. Health, Safety and Security characterized the workplace. In other words, Health and Safety of the employees constituted the first priority of the company. Also, the management was leading with example in every situation.",#VALUE!,#VALUE!
45,Great company with great benefits,GRADUATE ENGINEER,"South Jordan, UT","May 24, 2018",awesome training and career development opportunities. Mulit level management with years of experience to mentor the younger engineers. this provided great benefits for project management,#VALUE!,Walking in and out of work. Parking lot extremely far from the plant
46,"Good pay and Benefits, Cut throat, not honest",Maintenance Technician,"Magna, UT","May 21, 2018","The pay was good, raises were not. Benefits were top notch. Good old boys network, family that works there are taken care of by management. Say one thing and do another, it is a typical conglomerate, managers fear their leaders and it trickles down, very dangerous work, lots of OT, safety is a major concern and they do try to address issues, or sweep them under the rug, CYA is the underlying corporate motto.",Pay,Management
47,"Its good working place,nice environment ang quiet",Electrician,Saudi arabia,"May 21, 2018","I accept the working place, i can leave with it,hoping to join the company , the salary is good,benifitsare also better for me,hoping to have a cnance",With free foods,I can work for long hours
48,Only difference between jail and work .going home after your shift was over,Shift Supervisor Reduction Lines,"Kitimat, BC","May 17, 2018","Started as a contract supervisor.After a year on contract was offered a full time position.Biggest mistake of my life.Constantly harrassed by superiors, at no time did a person ever do a good job.",Good salary and benefits.,Not worth the stress
49,very stressfull,Maintenance Worker,"Labrador City, NL","May 17, 2018",if you are considering this job please think twicethe work force is on a 8 week old strike right now. so if your interested in being a scab go for it you wont be welcome in this town..as a foreman there you are the one they will point a finger at when they the mangers do wrong..,good money,very very poor management.
50,© MarchÃ of wrapping,Director of transaction For © rations,"JonquiÃ¨re, QC","May 11, 2018","With the global economic situation, the © market of aluminum is in transformation. To remain competent © titif, companies must rethink their business model. This is what is passed © in the last 5 years © es Rio Tinto. In this context the organization must rely on staff with good leadership impact.",very middle challengeant,#VALUE!
51,Great World Leading Company,Recruitment Coordinator,"MontrÃ © al, QC","May 11, 2018",Great supportive team members and workplace culture.Mangament was very supportive and everyone worked as a team.Learned various facets of the Company which created a proactive learning environment.,#VALUE!,#VALUE!
52,"Good pay, benefits, and work environment",Process Consulting - Purchase to Pay - Mult. Roles,"South Jordan, UT","May 10, 2018","Rio Tinto compensates well, presumably because they are competing globally for employees. Also, the vacation policy is generous, likely to align more closely with European and Australian norms. The work is challenging and you work with a very talented group.",#VALUE!,#VALUE!
53,"Premier multi-national, diversified, natural resource company.",President,"Denver, CO","May 9, 2018","One of the largest resource companies in the world with a portfolio of some of the highest quality mineral assets in the industry. The company was based on a culture of quality and long-term perspective, in terms of asset selection, operational practices and human resource development. An excellent organization with which I was proud to be associated.",#VALUE!,#VALUE!
54,production driven.,Superintendent,"Labrador City, NL","May 8, 2018","Good place to work very performance driven and stable, good community but has its down falls in certain areas. Overall good work place and there is a strong fellowship. ..",Quite community,Small community
55,Excellent,Mobile equipment operator,Paraburdoo,"May 6, 2018","Opportunity learn a range of skills, in particular, working with the latest mining equipment.Have a very good safety record. Enjoyed mentoring other operators both in workplace operations and mental health of FIFO workers.",Safe working environment,#VALUE!
56,month,Geologist,"Salt Lake City, UT","May 2, 2018",Management is often complained about. Support to follow through and complete projects is not always there. Musical chairs of managers and poor communication make it difficult to accomplish goals.,"safety, benefits, 401k matching of 6%","management always changing, lack of opportunity, poor communication"
57,What I liked most,Bilingual Executive Assistant,"Santiago de Chile, Metropolitana RegiÃ³n","April 24, 2018","Good working environment, good opportunities to learn and train and continue to grow",coinsurance,None
58,500 fortue company,Intern in Business development department,Beijng,"April 22, 2018","I am the intern in Rio Tinto, But when you work in this level company they teach you how to be more careful on details. Whatever a simple document you should be patience and make it nice when you show to your managers. They cultivate employee have a good habit when they start working. And everyone can learn from the company's daily work. Because these kind of atmosphere will prompt you be careful and be politely during your work period. They request employee provide high level and high quality work.",Learn a lot from the firm,You should be more perfact when you start working for Rio Tinto.
59,Had free food and vending machins,Security Officer/ EMT,"South Jordan, UT","April 20, 2018","The people were great to work with, but if you are doing sixteen hour work days it is hard to not be board for eight hours of the work day. The only exercise you get is patrolling in and around the building, so if your not into watching security cameras all day then this is not the job for you.",They on occasion had free lunches,Long hours
60,A very pleasing place to work,Process Technician,Gladstone QLD,"April 17, 2018",Safety is one of the biggest things and always improving the way safety is and identifying and introducing safety improvements and being one of the safest places to work in the world,#VALUE!,#VALUE!
61,Productive and proffesional place,Principal Advisor-Africa,Johanessburg,"April 15, 2018",This is currently the second biggest company in the mining world. Very professional and had a number of roles that one could moved to in the world. They are leaders and very progressive in their approach.,Everything,Travelling
62,Productive,driver code 14,Kadoma,"April 3, 2018",I got my experience at Rio Tinto driving trucks & tipper.I was able to work long hour since I was enjoying driving and there benefit. I was able to learn many things,Lunch offered,Long hours
64,a demanding but enjoyable place to work,HR Systems Co-Ordinator SAP,Brisbane QLD,"March 21, 2018",Rio Tinto provide a fantastic safe environment to work in. All the up to date technology is available to do your role. Great training and career advancement is encouraged.,Large company with career advancement opportunities,None
65,Excellent company to work for,PA to Superintendent of Mining Department,Paraburdoo WA,"March 21, 2018",Postion was demanding but was extremely rewarding. Management acknowledge positive changes that where made and implement for enhance the department.People I worked with where all excellent and all worked as a team.,#VALUE!,#VALUE!
66,Excellent Company to work for,"Principal Advisor, Industrial Hygiene","Salt Lake City, UT","March 20, 2018","Rio Tinto is committed to protecting the health and well being of its employees and contractors. Exceptional global EHS policies, programs, and procedures.",#VALUE!,#VALUE!
67,Great experience,Labour,"Kitimat, BC","March 19, 2018","Great contract, well done, good employer, thank you very much for the opportunity at Rio Tinto, it meant a big deal to meLocated in Kitimat BC I would enjoy coming back!-B",#VALUE!,#VALUE!
68,work life balance working fifo,"Project Execution - Project Lead, Cape Lambert",Wickham WA,"March 18, 2018","worked at two remote locations within the business, company support for workers working remotely and always felt valued as an employee and leader of work groups. Only left business due to downsizing of work force and requirement to relocate to Wickham with family.",great work life balance,remote location
69,Enveronement pleasant,driver warehouseman,Saint-Jean-de-Maurienne (73),"March 16, 2018",Good business very interissant work in the field of aluminum plain good salary with more c e.,#VALUE!,#VALUE!
70,Very happy here,Utility Operator,"Wilmington, CA","March 12, 2018",Great place to work. Became efficient on different equipment and been able to expand work experiece. Safe work environment with excellent benefits and pay.,Experience,Shift work
71,Hard paced organization that values work-life balance,Specialist,"Salt Lake City, UT","March 9, 2018","Some management is great to work with, especially those who really take time to invest in you and what you bring to the table.Workplace culture, while fast paced and extreme, had its moments when it was relaxed and easy to work within. Very flexible on working hours per day, as long as 8 plus hours were performed and it did not impact the company.",#VALUE!,#VALUE!
72,Change is Normal,"Senior Manager Service Delivery Americas, (IS&T)","South Jordan, UT","March 7, 2018",My department has been reorganized 4 times in two years. Way more change than is necessary. The current CEO has a re-org globally that makes no sense for the good of Rio Tinto.,#VALUE!,#VALUE!
73,Thru the Looking Glass,Was subcontractor employed,Pilbara W.A,"March 7, 2018","Gleaning Company 'Reviews', by existing employees, for possible access to employment, when I noticed this 'input' ; 22/02/2018 Mining System Technician, Mesa A. 'Productive Self Motivated'. Author of review, needs to check their grammar & spelling,or, just go back to using their phone, with spell checker!",better share prices than BHP,Don't optimise their/ THE resources
74,Great management,Head Electrician,"Salt Lake City, UT","March 3, 2018",Great people to work with on a day to day business. Was hoping for more money give my knowledge of some of the systems. Would recommend other peop to work here,#VALUE!,#VALUE!
75,"A very productive place,",Warehouseman - Forklift driver - Paroll,"Wilmington, CA","March 2, 2018","I worked in many jobs.Refinery, Warehouse, Payroll, Accounting, Shipping and receiving, Load Trucks, Load Ship Cargo, Fork lift driver, Store room clerk. All jobs were a good place with opportunities to grow. It was a busy place.. Not a difficult Place","Attentive, Employees first",Not much to mention
76,Interim role,General Manager HR,"London, Greater London","February 26, 2018",This was an interim role and I wasn't there long. The people were friendly and professional. The business was undergoing a merger with Alcan from Canada,#VALUE!,#VALUE!
77,Mixed bag workplace,Senior Engineer,Perth WA,"February 24, 2018",Good salary and great teams and people to work with.Middle management very inexperienced due to many coming from a non professional background.Next to no training and no career advancement.,Good market salary and teammates,Clueless middle management.. If you talk the talk you get promoted.. if you work hard you dont.
78,Productive self motivated,Mining System Technician,Table A Pilbara,"February 22, 2018",I work on a mine site where i am the only person looking after the Rio Tinto interests in the Mining Systrm equipment.So i am hard working self motivated.,No one looking over your shoulder,No one else to work with
79,Good place to work,Electrical Apprentice,"Kitimat, BC","February 22, 2018",I found it to be an enjoyable place to work. Show up and do your job and it is a good place to work. Kitimat is a beautiful place to live and work..,#VALUE!,#VALUE!
80,Not much opportunity for advancement.,Maintenance Specialist,"Salt Lake City, UT","February 19, 2018","My biggest piece of advice for anyone thinking about working here is be very careful which group you go into. If you are not in the right group or in the right position it doesn't matter what education or experience you have, your chances for promotion are non-existent. Having a graduate degree and 25+ years of experience doesn't matter to these people at all. They would rather promote friends or political partners into positions they have no business being in in the first place. Lack of experience and knowledge of these people they keep promoting into these upper level positions is going to bite them and it's the workers who will end up paying for it.",Benefits,"Lack of effective management, lack of advancement opportunities"
81,"Fun , challenging",Office Manager,North west provicnce,"February 12, 2018","Planning daily supplies for project teams were a real pleasure , administrating the aftermath of the project , also challenging, But great fun and learning experince",Good company benefits,Far from family
82,Good springboard into the professional world,Roster Manager,"MontrÃ © al, QC","February 6, 2018",I learned to work on files with multiple actors at the international and at speak in English every day.,"Multinational, career prospects",Detail © Department transfÃ © © Result in Australia where I could not follow
83,Great work life balance & remuneration,Mine Planning Engineer,Robe Valley Operations,"February 5, 2018","Great work life balance & remuneration but slower career progression. I enjoyed the work and the challenge, but difficult to move to a city based role from a site based role.",#VALUE!,#VALUE!
85,Productive. Excited to be here. But more room for improvement.,Operator,"Wilmington, CA","January 31, 2018","Just the right place for me. Strong union, Great job, and good people. But would have love more opportunity to advance. Unfortunately there are only a few opportunities.",Many free lunches,Takes a while to fix broken equipment.
86,"good paying job, lots of time for family, very poor management. disrespectful to the exteme with little to no consideration for their employees.",Some temporary supervisor work,"Kitimat, BC","January 30, 2018","Good pay, lots of family time, pension plan. Unfortunately, like many large companies, people are not a priority. Production over the safety (circumventing safety rules for own purposes) World class smelter my butt. They forget about their people. The plant is definitely not built around people. People are to be exploited and disrespected and there is little chance for moving up not that you want to go into management as you seem to get brain washed when you do become a foreman. No one is willing to stand up for sensibility or the good operators. Doomed to fail.",good pay,disrespect and poor equipment to complete given tasks
87,Safety and environment,Senior Advisor,La Defense,"January 25, 2018",my opinion is very positive on both points. © priority at the health of Salaria © s.,#VALUE!,#VALUE!
88,Proud To Work And Be A Member of A Group Of This Company.,Multi Machine Operator,Nhulunbuy NT,"January 22, 2018",Every day was a very pleasant day when we were driving to the Gate house.The safety that i was feeling just before I enter the plant and even at the end of the day.They all kept us safe.I leaned how to minimize my risks for any accident me and my group of workers.The EHS personal kept us updated daily for any Hazards in all areas.Had to have our eyes open for any slip-trip hazards and any spills around our work place.Most enjoyable part for me was to understand the progress and working in all the areas of the plant meeting new operators and CEO personal daily.,"Beautiful location, nice people, good total of safety.","Heat, Dehydration, noise."
89,The place seems to me the best for the Ã © panouissement professional,"MÃ © mechanic, welder and welding inspector.","Shipshaw, QC","January 22, 2018",Large possibility © es career for those looking for job satisfaction.,For one who wants to advance in his career,There are not any
90,No care for employees,Supervisor/Manager,"Salt Lake City, UT","January 19, 2018","The company is unable to remain stable despite open discussions of stability. They seem to be focused on consistent organization change and shaking up all aspects of their global support model in favor of offshoring and outsourcing. I have seen some of the most talented people I've ever worked for laid off in favor of cheap labor in other countries for nothing more than the forward dollar saved despite the long-term cost increase of outages and reputation impact. They are currently undergoing yet another organization restructure impacting over 200 people in the US without any significant care for the impact this will have on the people or the local economy. I have always believed in the work that I do and wanted to retire from this company but the actions and significant mental stress caused by our CEOs, Board and other senior leaders make me regret spending over a decade working here.","Generally good work/life balance, good benefits","Lack of employee satisfaction, poor organizational change"
91,very large group,OpÃ © tor production,Gardanne (13),"January 18, 2018",good benefits but many in France production site,This very advantageous,fewer sites
92,It's a good steady job,Mine operator,Weipa QLD,"January 10, 2018","It's a bit hard to explain because we hardly get training on other machinery due too certain rules they don't practice what they preach, and Weipa with the lowest paying mine but the high rent",Nothing good so far,New roster
93,nice and prudictive days.,Bap operator,"Boron, CA","January 9, 2018",everyday was very interesting from learning the way the plant operated to operation of the heavy equipment. just an all around nice place to work with nice individuals to work with.,#VALUE!,#VALUE!
94,long hours,Accounts Payable Specialist,"South Jordan, UT","January 7, 2018",I liked my coworkers and my job responsibilities but I found the pressures and demands of the job were overwhelming and required quite a bit of my time,#VALUE!,#VALUE!
95,benefit where going but let down by management,Process Operator,Kununurra WA,"January 6, 2018","Management needed to better in, on the job training and experience. The roster was brilliant 2 weeks on and 2 weeks off which they no longer have. Camp facilities were exceptional,",#VALUE!,#VALUE!
96,Very good company,© employed framework for Alcan,"Saguenay, QC","January 2, 2018","cost management ""t, to stay © © curita, personal and Productivity ©",culture,no
97,The people are pretty cool,Health and Safety Element 8 Custodian,"Salt Lake City, UT","December 29, 2017",I worked with some pretty cool people that were NOT in management. Something happens to some people when they get into corporate management in my opinion.,#VALUE!,#VALUE!
98,Excellent company with room to advance.,Underground Coordinator,"South Jordan, UT","December 18, 2017","Really enjoyed working for Rio Tinto. Left contract mining to enjoy a better quality of life. Generous compensation, and I had a terrific work schedule of 7 days on 7 off, with 5 weeks of paid vacation.",#VALUE!,#VALUE!
99,Excellent company to work for,Business Improvement Specialist,Brockman WA,"November 30, 2017","Great company to work for with excellent salary and benefits. Corporate exposure helps you to increase your strategy and financial skills.The workplace culture is good. Something to improve is the tolerance to non-native English speakers which makes difficult to these people to step up in higher positions (management positions) - this is the hardest part of the job.In the minesite, and depending on the manager, there is a bias to judge sooner than later to introvert people - this is not welcome in a competitive environment like Rio. You have to invent jokes and just pretend to be extrovert - this is a success factor to step up (apart from your English skills).Most enjoyable part of the job is that you have challenging objectives to reach which makes you exploit your skills and knowledge in a collaborative environment.",Company to grow professionally and personally,"Not an inclusive culture, lack of tolerance for non-native English speakers"
100,Determined and Successful,Document Control Manager,London,"November 29, 2017","Very much aligned to optimal working experience and never at the expense of the wellbeing of the person or team. Very mindful and considerate. Energetic, supportive, flexible, optimising. A very good team-mentality.",Strong Management,None I can think of
101,JOURNALISM © e of work,Foreman Ã © mobile mining equipments,"Havre-Saint-Pierre, QC","November 26, 2017",The train morning and evening JOURNALISM © e of 10 hours. 35 employees © s Ã gÃ © rer. meeting daily with the production and planning. Management problems Result © regularly.,#VALUE!,#VALUE!
102,Good company w/great benefits,Manager,"South Jordan, UT","November 22, 2017",Rio Tinto overall is a good company to work for however the company is mostly international based and not very US friendly. The company provides good benefits however advancement is tough for some positions (glass ceiling).,Benefits,Limited Advancement
103,"Stable work, great environmemt",Electrical Apprentice,"Boron, CA","November 22, 2017","Competitive, challenging, and rewarding environment. Awesome union stewards. Great place to add plenty of skills under your belt. There are a lot of opportunities for anyone who is open to working in a safety oriented atmosphere.",#VALUE!,#VALUE!
104,Production operator,Production operator,Yandi Mine WA,"November 19, 2017",Good company to work for. Have a good safety standard. And look after theor employees. The work accommodation is first class and always maintained. I,#VALUE!,#VALUE!
106,Poor Management,Technical Specialist I,"South Jordan, UT","November 16, 2017",Consistently pushed to violate established safety rules. Supervisor took credit for others work while deflecting blame on others when things go wrong.,Decent compensation,Poor management
107,No comment,Loader Operator,"Yellowknife, NT","November 15, 2017",Camp work rotational fly in only twelve hour shifts. Limited resources at camp site poor food choices and not the cleanest. Very cold and isolated in the winter,#VALUE!,#VALUE!
108,Secure company with good pay and benefits,Finance,Utah,"November 1, 2017","Great pay and benefits, but you're always at risk of loosing your job to outsourcing or reorganization. Constant focus on safety and cost cutting. Most of the managers are good, but you could end up with a difficult one depending on the department.",#VALUE!,#VALUE!
109,Rio tinto as a whole good company. Poor leadership and management,Technical Specialist,"Riverton, UT","October 27, 2017",Loved my job. However poor management. Discrimination and retaliation issues even when you have proof. Lack of follow through. Multiple issues called in on certain individuals nothing happened.,Some great groups to work with within rio tinto.,Overwelmed short staff
110,Productive and fun workplace,Lead - Finance & Accounts,"Gurgaon, Haryana","October 27, 2017",I enjoyed working with Rio Tinto and learned many new things in reporting and taxation during my tenure with Rio Tinto and get exposure to utilize my knowledge and experience while working there.Overall GOOD place to work.,"Free Lunch at office, Cafeteria, Pool table etc.",Starts very early in morning(being MNC)
