,review title,job title,job location,date,description,pros,cons
10,"My home where i started learning about engineering,and i fell in love with it",boilermaker assistant,"Northam, Limpopo","September 14, 2018","Valueing and caring for each other is the most important thing in this company.No women discrimination,everybody is treated fairly.safety is treated as a first born child.rasism is crushed in a minute and giving its people education and knowledge is very important here.if you stick to the rules then you are safe.Loving what you do will always encourage you to reach upper heights and believing in yourself will strengthen your self esteem,a wise man said so once.",Bonuses,No christmas breaks
11,"Company dedicated to the environment and community, zelandobpelo welfare funcion√°rios.","produ√ß√ charge £ o, £ produ√ß√ supervisor the",£ Catala or GO,"September 13, 2018",large multinational company had policy toward the welfare of funcion√°rios and familia.dando opportunity to follow proficional career opportunities cargos.nunca delayed payment giving opportunity in the £ participate in profits.,Payment on day. active social part. Medical care in the company.,As a multinational had a segment of the external policy deichando im bit of our culture.
12,Company DINA ¢ mica and focused,de technical process,Brazil,"September 9, 2018","too focused culture in people, great weather. Company concerned Safely and well-being of employees.",Refei√ß√ £ o the company transport.,#VALUE!
13,It has defined values ??and Politics.,Manuten√ß√ manager £ o Mine Etqpos,"Pedra Branca do Amapari, AP","September 6, 2018","Anglo American √ © a good company to work for, have strong values, employees s√ £ engaged and the work environment √ © challenging.",#VALUE!,#VALUE!
14,"Good working environment, stable and well-paid",Senior Specialist Maintenance,Mantoverde chaa ± aral,"September 1, 2018","Starting the day with review of all aspects of security both analyzing the work performed the previous day, as a desarrollar.Posteriormente the planning is revised short- and medium plazo.Lo have more complex all human resources and log√sticos | development activities so it is important to ensure that programmers necesario.lo time all learned, what preventive security both and planning are the basis of an excellent proceso.lo that I liked most was the work team to take the challenges ahead, (kpi compliance with both safety and production costs)","© dico me excellent insurance, housing, personal transfer","the variability of market prices, forcing a constant reduction of resources."
15,Productive and challenging,Safety Officer,Kolomela,"August 31, 2018",A normal day at Kumba is where you get to meet new people every time. Safety is a process and it takes a while to be implemented. Management is motivated to get involved in the day to day issues regarding the staff. Everyone is committed to zero harm. Paperwork is the only hard part of the job because it takes you away from the people doing the work and implementing a new system and reaching a KPI goal is my considered my fun time at work.,#VALUE!,#VALUE!
16,Very good company,Practical Professional I,"Santiago de Chile, Metropolitana Regi√≥n","August 30, 2018","The working environment is good, people respect schedules, rest on buses, transportation is comfortable, lunches and breakfasts are good.",All,Nothing
17,"pleasant company and good working environment, good professionals.",Chief Operating Officer Mina Mantenci√≥n,Maintenance Superintendent,"August 21, 2018",It was a pleasure and enriching belonging to a company‚ ± aa great world culture in mining industry.,#VALUE!,#VALUE!
18,Company enjoyable to work and professional fant√°ticos,Cost Analyst S√™nior,"Hat £ o, SP","August 10, 2018","I became a professional super skilled and motivation £ always high, the challenges in achieving the plans and colleagues High Level of knowledge and skills.",£ Preocupa√ß√ with the funcion√°rios and the royal £ located,Do the £
19,Admin,Project Administrator,"Thabazimbi, Limpopo","August 10, 2018",Keeping dairy up to dateGeneral admin work at the officeTime and attendance recordsStaff enquiries Travelling arrangements for CEOTyping of documentsMeetings and food,#VALUE!,#VALUE!
20,Great environment,Metallurgist,"Crown Mines, Gauteng","August 7, 2018",Great environment that fostered a spirit of teamwork and collaboration. Intensive travelling required. Well balanced environment that was results driven and oriented,#VALUE!,#VALUE!
22,"Very good company to work with, great job environment.",Consultor de Supply Chain,"Belo Horizonte, MG","July 20, 2018","The company has a good preocupa√ß√ £ with the Staff, with a navel of benefits above the m√ © market day. The desktop √ © very good, and well-structured company.","Benef√cios, climate.",Differences cultural management style of the English x £ Dollars.
23,High- performance,Administrative Analyst Plenum,£ Catala or GO,"July 11, 2018",Anglo American √ © a Business with Politics of Mass £ s√≥lidos values ??and the conhecida.De £ valoriza√ß√ the people and demanding performance of employees.,#VALUE!,#VALUE!
24,√≥tima a company to work for,T√ © cnico manuten√ß√ £ o,"Concei√ß√ £ Within the Mato, MG","July 10, 2018",I indicate to anyone as one of the biggest and best companies in the world,The benefits S√ £ o √≥timos,N√ £ o have nothing against
25,Where I began my journey to stretch very grateful,operator Maintainer,"St. Anthony grass, MG","July 1, 2018",I saw you-Only thank all learned thanks to her I'm good Curriculum,Great,Nothing to declare
26,Anglo Platinum Review,Information Systems Analyst,"Johannesburg, Gauteng","June 30, 2018",I enjoyed me time at Anglo Platinum and learnt a lot from my colleagues.I started my career with Anglo Platinum and appreciated all the opportunities afforded to me to grow my career.,#VALUE!,#VALUE!
27,¬°Qu√ © good that does not fit ©!,English teacher © s,"M√ © xico City, D. F.","June 28, 2018","If what you say is true, ¬°de which saves me ©! It is true that school is chafa, the atmosphere very official school, looks unprofessional. As teachers we must not allow ourselves to be paid so little.",It was close to my house.,Everything else
28,Work environment,Mechanical supervisor,turtledoves,"June 25, 2018","Excellent relationship between people of both high rank among lower ranks and vice versa, respect 100% both among themselves and with partner companies.","Reliable, honest, respect, integrity, collaboration.",Too few staff for activities that develop.
29,Productive and fun workplace,Vacation Student,"Johannesburg, Gauteng 2107","June 13, 2018",You work with an interactive management team that supports your goals and aspirations whilst helping you focus on the daily task assigned to you. The staff is also extremely friendly.,Free Lunches,Long hours (month end)
30,Good working environment,Supervisor area geology,Supervisor area geology,"June 7, 2018",In the company I-performing ± or currently is a Empre that sail every day for the intregrida of each worker respecting Standards an and leaderships of each person and group of workers and realisa work ore mining esplotacion bank protecting the environment and do not damage the eco sitema ± ando,None,Any
31,exellent Company,Analyst Supplies S√™nior,"Belo Horizonte, MG","June 6, 2018","√ ""last company values ??employees. Learning was very good during my time at the company.",#VALUE!,#VALUE!
32,Pleasant working environment,"Electromecanico, Mantencion","Area El Soldado, cantaloupe Valparaiso Region","June 5, 2018","job security, good benefits, there was a steady learner in the security issue",#VALUE!,#VALUE!
33,Good place to start your career,Maintenance Engineer,Barro Alto - GO - Brazil,"June 4, 2018","I have worked for AngloAmerican for five years, and I can assure it is a great company to start your career. The environment is friendly and there are a lot to learn there.",Benefits,Location of some sites
34,Good but with caveats.,Treasury Analyst,"Belo Horizonte, MG","June 4, 2018","Forte £ preocupa√ß√ the Safely, good benefits and sal√°rio.",Benefits and wages.,Pessima GESTA £ e rh confused.
35,Great Company to work,Senior administrator,"Polokwane, Limpopo","June 1, 2018",A very busy day at workFocused and determinedGreat company but there's no job security due to economic and commodity fluctuationUbuntu culture prevailDoing month end reportsSafety campaigns and activities,Working as a team,Long hours at work
36,Collaborative Environment,Engineer,Johannesburg,"May 23, 2018",Professional environment characterized by collaboration and fact based decision making. There is a culture of continuous business improvement and lessons learned inform future decisions,Wealth of knowledge,Bussiness is susceptible to external environment
37,Agrad√°vel,equipment operator III,"Concei√ß√ £ Within the Mato, MG","May 22, 2018","Very good working, professional and √≥timos √≥timos results, benefits",Provides,Provides
38,safety,electrician,"Rustenburg, North West","May 20, 2018",very safe environment to work inproductive team memberssupportive management teamfair training and development opportunitiesliving righteous values,raining and devopment,sometimes slow progress..too much adminisrative work
39,It was fun to work at bokoni,Tna operator,Limpopo,"May 19, 2018",I have worked for this company for 8 years i wish they could open bokoni platinum mine again it was like home 2 us we really muss that place ;Anglo is a good company i dont want to lie 2 you,No,No
40,Productive workplace,HR,Johannesbury,"May 14, 2018",I enjoyed having an open plan office which allowed me to interact with my team. We had different pockets of expertise and I enjoyed my area of work although it was challenging. A focused mindset and a good work ethic is part of the role.,We had a canteen on site,Not enough opportunity to grow
41,productive and fun work place,Electrician Artisan,Npumlng,"May 9, 2018","Anglo American is a fun working place, enjoyed working there since 2005-2007 as an apprentice got qualified as an Electrician in 2007 until 2017, and never experienced any challenges.",long service and safety packages,normal working hours
43,Productive and fun workplace,Sales Consultant,"Limpopo, Polokwane","May 8, 2018",ManagementAt times management empowered. Good and supportive workers/colleagues. Team spirit. Good remuneration and packages. Achievements recognised.,Free lunch,Long hours
44,Transparent and responsible company,Business Improvement Specialist,"Santiago de Chile, Metropolitana Regi√≥n","May 6, 2018",I'ts a global company with good payment and other ear benefits,#VALUE!,#VALUE!
45,4 stars,CAD draftsman,"Santiago de Chile, Metropolitana Regi√≥n","May 1, 2018","Learn how to use CAD software Deswik, which I really liked a lot.",#VALUE!,#VALUE!
46,Productive company,Underground Electrician,Limpopo,"April 25, 2018","Is a good company but dont care about the employees,It's only check for production,they talk safety but they don't practice it at workplaces and put pressure on employees",None,Long hours
47,Pleasant to work and recognition,Coordinator Informatica Induatrial,Minas Gerais,"April 21, 2018","Multinational company that values ??its employees, recognition and transparency, transformed into values ??s√ £ o its main qualities","PPR, health plans and dental Aid Alimenta√ß√ £ o and £ o Refei√ß√",#VALUE!
48,Companions ± AA alt√simos safety standards and care of people.,Ing. Mantenci√≥n Mine Planner,Mantoverde chaa ± aral,"April 17, 2018","A company‚ ± AA large values, responsible with everything that surrounds it, their culture has led her to be what it is today and the most important thing feel that your contribution is very important to them.","Insurance, transportation, estad√a, agreements.",None
49,pleasant atmosphere to work,truck driver,"Copiap√≥, Atacama","April 16, 2018",work with good working environment good machines to work safely and respect the environment,fonasa,#VALUE!
50,Good working environment,Trainer and certification,"Copiap√≥, Atacama","April 15, 2018","Good company to work, there are opportunities for professional growth and there are many benefits available to all.",#VALUE!,#VALUE!
51,Good environment to work in and productive company,Winding Engine Driver,North West,"April 12, 2018","Like working for Anglo American, their values and morals is a plus. They value and care about their employees, the salary is good n the bonuses is also a plus.",Bonus,Strict
52,Fancy company,Executive Assistant,"Johannesburg, Gauteng","April 5, 2018","A good company to work for, it has good rewards and benefits. It has a gym in the vicinity and that promotes healthy living. Used to have many social events which was an opportunity for employees to know each other.",Free lunches,Travel
53,Work environment was not very pleasant,mechanical maintainer,"The cantaloupe, Valpara√so","April 3, 2018",My personal experience was that as a woman in the mechanical area was not the best with some company‚ ± eros and bosses generally not√≥ only did so to avoid fines,"Good health insurance, family break",For those who like this work no cons
54,Anglo American is a family friendly company to work with,snr site supervisor,Limpopo and North West province,"April 3, 2018",Exelant company to work with. Been a pleasure to be part of the project team. Best colleagues you can work with.This is a stable com with a big impact in Africa not just Sa.,#VALUE!,Be honest. Be yourself. Be friendly.
55,Productive workplace,Electrician,"Welkom, Free State","March 25, 2018","As I was in charge of the generator room at the Uranium Plant, and therefore never went underground in the mine, I enjoyed my job at President Brand mine.",Housing,#VALUE!
56,A company with excellent productivity and comprehensive in scope security,Inspector anodes,Laboratory,"March 22, 2018",Job security. Confidence in exercising the task thanks to the excellent team they have.,Health insurance,No cons
57,"Productive,production is very high",Acting electrician,Limpopo Thabazimbi,"March 21, 2018","It's good to be part of Anglo American platinum because there are many benefits for our children, bursaries transport to school etc. I love safety there but I dislike travelling long hours to work",Free transport,Good hours
58,working under pressure,Metallurgist,"Rustenburg, North West","March 20, 2018",not much room for development. cannot plan on vacations since job is very volatile. no room for innovation. however the people on the ground have vast knowledge that one can learn from,interesting chemical processes,long hours
59,Company DINA ¢ mica and enjoyable to work,Supply manager,"Nacp√°, of","March 15, 2018","√ ""optimal benefits and the £ remunera√ß√, good working environment.",Benef√≠cios,Information Location £ o
60,company focused on Security,Electrician Manuten√ß√ £ II,"Concei√ß√ £ Within the Mato, MG","March 11, 2018","The company √ © very attentive to quest√?es related to workers' Security, offers v√°rios training aperfei√ßoamento, keep your firm guidelines and on the dia.Uma √≥tima company.","Security, aperfei√ßoamento, Padra £ the £ produ√ß√ the",#VALUE!
61,Already was a better company,Analyst,Concei√ß√ £ Within the Mato,"March 11, 2018","Already was a better company in £ per√odo of implanta√ß√ in the £ Gesta the former CEO Paulo Castellari, currently the Gesta £ o √ © very different, with new CEO and board executivo.Atividades performed by very specific funcion√°rios . Few professional growth opportunities, company usually seeks external professionals to fill vacancies, especially vacancies lideran√ßa. N√ £ o has plan for jobs and sal√°rios. Do £ supports the relocation in the £ internal professional. HR fraction. Gesta £ o and bad lideran√ßas, many with exaggerated ego and vanity. Some important benefits were cut recently. √ © Sal√°rio still a market differential, PORA © m est√° experiencing a flattening in per√odo £ contrata√ß√ the new employees, for example hire an engineer as an analyst. Company focused on £ redu√ß√ the cost and increase productivity.",Experience in a multinational company.,Lideran√ßas and Gesta £ o.
62,"Reasonable workload, but commute time made for long days","Long Range Maintenance Planner, ?na","Tumbler Ridge, BC","March 10, 2018",Immediate manager was very good to work with.Crewbus commute from home made for long days.Gained valuable experience with in-house CMMS and MS Project.The only reason to leave this company was a general shutdown of operations and complete employee layoff.,"Opportunity to hone MS Office, Project and other software",Pre and post workplace commute (crewbus) added 2 hours to workday
64,Very good company,driver class b,"Santiago de Chile, Metropolitana Regi√≥n","March 7, 2018",Very good salaries daily training for their workers and pleasant atmosphere Intalaciones,good wages,#VALUE!
65,Great company,Senior Analyst Programmer,"Johannesburg South, Gauteng","March 2, 2018","For the most part I really enjoyed my time at Anglos. Management was good as you would expect, the work was always challenging and I worked with intelligent people.The salary was adequate, if not generous.I enjoyed the interaction with my colleagues during and after work and the challenges of new projects.There really was not a hardest part, I left for a new challenge, not because I was tired of the company.",Free lunches,None really
66,¢ dynamic company and would like some © s,T√ â á MANUTEN√ TECHNICAL IN INDUSTRIAL RECTIFIER,£ Catala or GO,"February 27, 2018","I especially enjoyed the development that I could share with the team manuten√ß√ £ o.Atuando planning, Creating the £ and improvement plans manuten√ß√ £ o.","Very united, manages open mind to new IDA © ias.",Career Plan nonexistent and the £ remunera√ß√ below average market.
67,A day to day run of a training center,HR Manager,Limpopo,"February 27, 2018",It must be normal with challenges prioritized and resolved. Learned to ensure continuous improvement while adopting a culture of no repeats. Open relationship with management business deliverables. Promotes a diverse culture. Is hard when deliverables & deadlines are not met. Is enjoyable when targets are safely met.,A great thank you and appreciation for a job well done,Lack of support from management / supervisor
68,"√ ""last company to work for",T√ © technician of £ Manuten√ß√ or El√ © trica,"Concei√ß√ £ Within the Mato, MG","February 21, 2018",Anglo American √ © one √≥tima company to work for. Anglo has actually Security as a value and that makes all the difference in the quality of the services of employees.,#VALUE!,#VALUE!
69,Exelente empreza in minera√ß√ branch of the £,Technician mining (operational),"Concei√ß√ £ Within the Mato, MG","February 15, 2018","It was a pleasure to work in this great company, taught and learned a lot in those four years I lived q aliFoi very good part of the start up of the project River mine","Salary, benef√cios",Unit location
70,Hard but exciting with safety achievements recognised and celebrated,Safety Officer,eMalahleni South Africa,"February 14, 2018","The coal mines were bulk producing mines for export and power station smalls.The management teams I worked for fully supported Anglo's need for a safe working mine. The middle management and workers did not trust the system and were difficult to sway from their old mining methodology.I was expected to implement Anglo Health, Safety and Environmental systems to the workers and ensure compliance to that end. A typical day would require that I comply to the duties of the health and safety officer.",Employees/contractor owning the safety systems in place and going home each day unhurt,Being the middle manager closing the mistrust between management and employee
71,Good package of benefits,Maintenance Engineer,BR,"February 9, 2018",Good package of benefits and some great professionals. But the management culture is poor and the meritocracy is nonexistent inside the company. Some people are treated in a unfair way.,#VALUE!,#VALUE!
72,a home away from home workplace,Communications Officer Operations,"Rustenburg, North West","February 8, 2018","A typical home away from home workplace. A place where you missed being at when you away on leave. the values and culture resonated with ones values, one could not detach work from personal. The environment was happy and conducive for development.","free lunch, free cellphones, free accommodation, career advancement",none
73,concerned about the safety and health of workers,hydraulic specialist,"Los Bronces, O'Higgins","February 7, 2018",very good very good salary company pleasant working environment guataria not leave me there but I have to force majeure,#VALUE!,#VALUE!
74,Challenging and exciting place to be,Chemistry and metallurgy trainee,North West,"February 7, 2018","After every three months there used to be a shut down in the plant to overview everything, service machinery. As a trainee i was required to partake in that, help clean the plant in and out as there would be inspectors so had to do our level best to ensure everything ran smoothly. At times we would go inside machines and clean them, I'd fear that as i thought they would just run even with them off. I had to climb up the stairs go to the top level to observe if things are in order and i am afraid of heights so had to just so i could get the job done. But with that after a while i got used to the heights. The management was doing well, treated us with respect and ensured that we learn almost everything. They would even ask us to shadow them if they were not too busy. The hardest part of the job was projects we would be given, with some people refusing to assist us when we asked questions. The one thing i enjoyed about working there was the people we worked with, most of them were good people. I never felt like a trainee as at times i was required to give instruction to elderly people they would do the job without hesitation.",Incentive for free injury days,long hours
75,"√ ""last company to work",T√ © technician of the £ Manuten√ß√,"Concei√ß√ £ Within the Mato, MG","February 6, 2018",I am in the company to four years and £ I have nothing to complain about in this working with role models and quality professionals.,#VALUE!,#VALUE!
76,Best company in the world,Buyer / Senior Buyer,SOUTH AFRICA,"February 4, 2018",Purchasing for mines all over south africaThat racism is cruel and should not exist Great management. Solid staff accuracy and importance of transactionsGood canteen and flexitime,Free luches and bonusses,Far from home - traveled by train every day
77,Very good company to work for,Iron Ore channel coordinator,"Saldanha, Western Cape","January 28, 2018",Anglo-American is a good company to work for. They are concerned about employees and it was a pleasure to work for them.They strive for excellence and there is a great team spirit. Everyone is committed to doing their best for the organization. Putting in extra hours was not a hassle as I would do it wholeheartedly to get the job done.,#VALUE!,#VALUE!
78,Good.,Operator,Metropolitan Regi√≥n,"January 23, 2018",Anglo is a company where you can work in peace © ndose understand the pressure that has to work in quarry.,#VALUE!,#VALUE!
79,Productive,Surveyor Technician,"Black Stone, Limpopo","January 14, 2018","Its great company with rich culture of health and safety, there's development of employees, managers support their juniors to get experience and encourage people to develop themselves",Free mageu,45 hours per week
80,Company DINA ¢ mica and enjoyable to work,Human resources assistant,"Belo Horizonte, MG","January 12, 2018",Company √≥timo sal√°rio and benef√cios.Oferece opportunity for growth and development for employees.,#VALUE!,#VALUE!
81,Fun workpalce,Electrician,"Johannesburg, Gauteng","January 11, 2018",Am a hard worker i can even work at any conditions and take over time jobs am health. Am a fun person who like to make joks and i love playing soccer that keeps me fet,my lunch box,long hours
82,good,Ge√≥logo Estructural GEOTA © cnico,"Santiago de Chile, Metropolitana Regi√≥n","January 10, 2018","Very good working environment, hostile climate and altitude to develop ideas geogr√°fica.Recursos",near Santiago,Climate and Height
83,Productive,Accounts Payable Supervisor,"Witbank, Mpumalanga","January 9, 2018",It is fairly good working at Anglo American GSS but it does not operate like the Mines. Dont receive the same benefits and treatment.overall I can say it is Good but not the best,#VALUE!,#VALUE!
85,Very good,A2B driver,charger driver,"January 8, 2018","serious and responsible company, good working environment",#VALUE!,#VALUE!
86,na,Environmental Scientist (contractor),"City of Johannesburg, Gauteng","January 7, 2018","good company, great culture, opportunity to advance, nice work place, international travel, opportunity to advance, diverse working experience, repeat",na,na
87,Sydney Sebata's experience at AAP,Mechanical Engineering Apprentice- Rigger,"Rustenburg, Gauteng","January 3, 2018","Good environment, experienced and lively people in the field, low pay but a bit better once you are qualified. Other things like recklessness, carelessness, ignorance and other bad traits that I experienced over the years I worked there are part of life and I believe we get them everywhere.","Care for employees from business model and corporate social responsibilty, e.g) Medical, Allowances",Depends on our job description. I have nothing to complain about for the training I got.
88,Values count.,Safety & Sustainable Development Administrator,"Black Stone, Limpopo","January 3, 2018","Treating their employees with respect, looking after their co-workers and working together as a team. People care about one another and it is nice to work for such a company.","Lunch, 13th cheque, proper vacation",None
89,Anglo American is an exciting company to work for,HR Coordinator,"Thabazimbi, Limpopo","December 28, 2017",I am passionate about developing people. What is most rewarding is getting recognition and being thanked by the learners ins person for guiding and supporting them towards achieving their goals.,Annual incentives,Huge inbalance in incentives being paid out annually
90,Internal Audit Manager,Audit Manager,"Johannesburg South, Gauteng","December 26, 2017","Beautiful company, professional, adequately resourced, there are always willing to help. The only problem is the job insecurity, retrenchments make the place unbearable, otherwise a very progressive company.",#VALUE!,#VALUE!
91,Huyan of ahi,English teacher,"M√ © xico City, D. F.","December 22, 2017","They make a Quiz less than half an hour to see if you can teach, you pay 70 pesos per hour and make you stay for more pl√°ticas of supposedly unpaid hours of professional development. Zero benefits, you just need a number of account where you deposit money. Zero books are copies. You require to novel classes but will limit the number of impressions and you send a day earlier. Pay is laughable.",Nothing,Zero benefits pay 70 pesos per hour
92,Productive,rock drill operator,"Burgersfort, Limpopo","December 19, 2017",Anglo American Platinum is the one of the company that put the safety of the employees first. what I learned about it is the company that develop the of their employees.,Own lunch,8 hours
93,At Anglo we are brother and sister's keeper and safety begins with you.,HOD Secretary,Npumlng,"December 13, 2017",Respect and collaboration is the order of the day not forgetting working safely as the highest priority at Anglo Mines. A place to call home away from home.,"Free lucnh, bottled water and snacks",People gaining weight
94,Dina and little ¢ Global,Shed of charge © m,"S„o £ £ Joa the bar, AB","December 12, 2017","The di√°ria activities were around the reception, conference and storage of the material, but WHAT most attracted me was the di√°rios challenges to keep the £ produ√ß√ the Safely because the stock was fair and the remote site, agu√ßando our expertise to keep the pallet doors with material with a long lean team.",Benefits,Physical structure
95,Good working environment,basic practice,"Providencia, Metropolitana Regi√≥n","December 7, 2017","It was a very good experience to integrate into the workplace, served me to learn. Overall a pleasant atmosphere.",#VALUE!,#VALUE!
96,Anglo American GSS,Accounts Administrator,"Witbank, Mpumalanga","December 6, 2017","Its a awesome place to work for, would not like to apply for another job, but I do not have a choice, I really breaks my heart for not being able to continue with Anglo American GSS",#VALUE!,#VALUE!
97,Productive,rock drill operator,Limpopo Burgersfort,"December 4, 2017",I work at Twickenham mine at Limpopo. We're currently under care and maintainence due to the financial constraints. However we are busy with the development and research whereby we are testing a new technology machines mostly from Switzerland.,Have own lunch,8hours
98,Productive and enjoyable workplace,HR Data Capture,Limpopo,"November 28, 2017","My day at work was a stress free and enjoyable.I have learned to work with different people of different culture with different attitude an d personality.Working with a difficult client whereby sometimes you don't even know what to do.The team in the HRD were very supportive one injury , injury for all.I enjoyed reaching my daily target.",#VALUE!,Normal Working hours
99,"excellent working environment, excellent business opportunity to grow",heavy machinery operator,"Santiago de Chile, Metropolitana Regi√≥n","November 27, 2017",excellent company to come personally and professionally,all to improving the worker,nothing to say
100,Development and fun,Accounts Administrator,Jhb CBD,"November 22, 2017","Read incoming emails and respond to queries Log into SAP customers and Bank accountClear accounts, send out required docs, invoices and statements",Open door policy,"not allowed overtime - that is, after 5pm"
101,A company that is passionate about people development,Sheq Manager,"Rustenburg, North West","November 10, 2017",A highly qualified Management teams with a lot of foresight/vision. All the working areas are such a pleasure to work at. Can be very stressful at times especially during the silly season when the DMR inspectors frequently visit the Mines.,Proper career advancement institution,Long and hard working hours
102,Learning culture and protective environment,Coal Processing Plant Engineer,Good Hope Volliery,"November 9, 2017",Perfect place for person seeking t relax and end career. More of a relaxed environment and bureaucracy and red tape makes it difficult to operate if one enjoys being an entrepreneurial leader,Lack of entrepreneurial support and bureaucracy,Employee support and job security
103,My latest work place,Time Administrator,"Thabazimbi, Limpopo","November 3, 2017","A typical day for me at work was going to work at 7:30. Having a nice cup off coffee with my friends. I had a good relationship with everyone, people new when there time sheets was with me they would get paid even at the last minute i would help people because i knew how important there money were 2 them.In all my years working in Anglo American i have learned to really listen and help people. I had 2 manage all my different types of work load and 2 do it accordingly i always had a system 2 make my job easy so i dint make mistakes....check, check and double check because after all this was people money i was working with. The culture in my workplace was what made going 2 work nice every day. Everybody had respect for each other and when there was a problem among us it would be talked out in a respective manner.The hardest part of my job i would say was the impatient employees. And yes i would also calm them down and try 2 explain the situation 2 them. whatever it was that was bothering them.The part that i enjoyed the mos was when everyone would get there payslips at the end of the month. And then everything was 100% . There were never any pay queries and this made me happy because we worked together as a team...",Nice People,nothing
104,productive and nice to work for,Senior Occupational health nurse,"Mpumalanga, KwaZulu-Natal","November 3, 2017",Nice place to work in. Working 8hours.Working under supervision of Sr and I was her Deputy(right hand).We report to the dr.We do internal as well as DMR and Cohsasa audits,order everything on cost codes,8hour shift
106,Internal audit,auditor Specialist,"Belo Horizonte, MG","October 30, 2017","The structure of the internal audit of the company √ © suited to the IIA padr√?es, respons√°vel being for operational and financial audits being quite challenging.",Plr,#VALUE!
107,"Old and traditional company, excellent to develop your career .",Maintenance Engineer Trainee,Goi√°s,"October 27, 2017","It`s a great company to start working for, they will teach you a lot of different things, and you will never get bored. I used to work as maintenance engineer and reliability engineer, and I can assure you that you are going to see all kinds of failures and have numerous different issues to solve in a daily-basis.",Great salary and benefits.,Long hours and you usually need to work on weekends.
108,Preferred choice of employment,PRINCIPAL ROCK ENGINEER,"Johannesburg, Gauteng","October 24, 2017",Anglo American is a top tier company that wants to make money yet research possibilities and also care for its employees.Meet to get daily feedback from previous shifts and prioritise tasks if necessary. Attend management or safety meeting and do planned underground visits when required.Challenges included monitoring working places for high risks and mentoring and coaching teams to understand the risks involved in specific tasks that may be hazardous if not correctly identified ahead of the task.,#VALUE!,#VALUE!
109,Company DINA ¢ mica and enjoyable to work.,Aut√¥nomo,"Nova Lima, MG","October 23, 2017","5 stars, I loved working, out-Only because my father was transferred to BH in this case it was more convenient accompanies it.",Very good company to work,Do £ I have nothing to complain about
